indice_tiempo,emisivo_aerea_bolivia,emisivo_aerea_europa,emisivo_aerea_chile,emisivo_aerea_paraguay,emisivo_aerea_brasil,emisivo_aerea_ee_uu_y_canada,emisivo_aerea_resto_de_america,emisivo_aerea_resto_del_mundo,emisivo_aerea_uruguay,emisivo_terrestre_bolivia,emisivo_terrestre_europa,emisivo_terrestre_chile,emisivo_terrestre_paraguay,emisivo_terrestre_brasil,emisivo_terrestre_ee_uu_y_canada,emisivo_terrestre_resto_de_america,emisivo_terrestre_resto_del_mundo,emisivo_terrestre_uruguay,emisivo_fluvial_maritima_bolivia,emisivo_fluvial_maritima_europa,emisivo_fluvial_maritima_chile,emisivo_fluvial_maritima_paraguay,emisivo_fluvial_maritima_brasil,emisivo_fluvial_maritima_ee_uu_y_canada,emisivo_fluvial_maritima_resto_de_america,emisivo_fluvial_maritima_resto_del_mundo,emisivo_fluvial_maritima_uruguay,receptivo_aerea_bolivia,receptivo_aerea_europa,receptivo_aerea_chile,receptivo_aerea_paraguay,receptivo_aerea_brasil,receptivo_aerea_ee_uu_y_canada,receptivo_aerea_resto_de_america,receptivo_aerea_resto_del_mundo,receptivo_aerea_uruguay,receptivo_terrestre_bolivia,receptivo_terrestre_europa,receptivo_terrestre_chile,receptivo_terrestre_paraguay,receptivo_terrestre_brasil,receptivo_terrestre_ee_uu_y_canada,receptivo_terrestre_resto_de_america,receptivo_terrestre_resto_del_mundo,receptivo_terrestre_uruguay,receptivo_fluvial_maritima_bolivia,receptivo_fluvial_maritima_europa,receptivo_fluvial_maritima_chile,receptivo_fluvial_maritima_paraguay,receptivo_fluvial_maritima_brasil,receptivo_fluvial_maritima_ee_uu_y_canada,receptivo_fluvial_maritima_resto_de_america,receptivo_fluvial_maritima_resto_del_mundo,receptivo_fluvial_maritima_uruguay,balanza_aerea_bolivia,balanza_aerea_europa,balanza_aerea_chile,balanza_aerea_paraguay,balanza_aerea_brasil,balanza_aerea_ee_uu_y_canada,balanza_aerea_resto_de_america,balanza_aerea_resto_del_mundo,balanza_aerea_uruguay,balanza_terrestre_bolivia,balanza_terrestre_europa,balanza_terrestre_chile,balanza_terrestre_paraguay,balanza_terrestre_brasil,balanza_terrestre_ee_uu_y_canada,balanza_terrestre_resto_de_america,balanza_terrestre_resto_del_mundo,balanza_terrestre_uruguay,balanza_fluvial_maritima_bolivia,balanza_fluvial_maritima_europa,balanza_fluvial_maritima_chile,balanza_fluvial_maritima_paraguay,balanza_fluvial_maritima_brasil,balanza_fluvial_maritima_ee_uu_y_canada,balanza_fluvial_maritima_resto_de_america,balanza_fluvial_maritima_resto_del_mundo,balanza_fluvial_maritima_uruguay
2016-01-01,4196,32038,28185,3093,104681,55222,76330,12649,15601,50456,520,335435,128491,361086,279,3666,234,168571,6496,733,11519,9920,27243,1210,334,84,102277,7842,75533,16396,5093,38487,39785,35648,19267,3123,65510,36561,131502,78697,44415,7767,16767,16249,29126,8599,21936,2487,7436,36245,19143,6935,6360,23048,3645,43495,-11789,2000,-66194,-15437,-40681,6617,-12477,15054,36041,-203933,-49793,-316671,7487,13100,16015,-139444,2103,21203,-9031,-2484,9001,17933,6600,6275,-79229
2016-02-01,6287,43823,28663,2604,101688,60999,86741,15606,12678,63329,429,313945,97491,328557,230,3023,193,177215,4774,369,12530,9692,27396,718,1080,116,100631,6078,57767,22602,4035,23715,28328,25223,17812,3169,42931,33869,184788,66448,29053,7469,12519,13907,28694,4159,27797,4416,6596,30032,19220,4702,6656,24035,-208,13943,-6061,1430,-77973,-32671,-61518,2205,-9509,-20398,33439,-129157,-31043,-299504,7238,9496,13714,-148520,-615,27428,-8114,-3096,2635,18502,3621,6539,-76596
2016-03-01,4249,45705,25517,2338,98355,70368,70845,16015,7081,34113,429,193075,68557,136954,230,3027,193,90377,6323,50,4854,7566,10690,95,184,16,63288,5110,57646,18059,5093,26809,32053,29163,16022,5247,30151,31109,84208,65532,24475,6732,12564,9749,39941,6049,17406,1785,6149,10810,16441,7026,5108,36770,861,11941,-7458,2755,-71546,-38315,-41682,6,-1833,-3961,30680,-108867,-3024,-112478,6502,9537,9556,-50435,-274,17355,-3068,-1417,119,16346,6841,5091,-26518
2016-04-01,3201,44351,22725,2868,66140,65311,67930,14921,5121,28300,181,113887,66681,53902,97,1277,81,27907,5602,56,136,6473,3867,114,249,17,25137,5071,48942,18451,4652,39399,24870,27073,14094,4775,27120,17933,45982,38301,26924,3464,8731,5594,22042,7331,6239,706,5235,8034,2775,3361,1685,26836,1870,4590,-4274,1784,-26741,-40441,-40857,-827,-345,-1179,17752,-67904,-28380,-26978,3367,7454,5512,-5864,1729,6183,569,-1238,4166,2660,3111,1667,1698
2016-05-01,2899,59681,25059,3496,49450,76281,67362,12322,5593,28363,26,93967,70291,35830,14,185,11,25707,7407,107,41,8086,6240,140,342,14,26017,5040,32627,20912,5097,45690,19151,25618,12975,5848,27971,11529,39401,44621,24762,1776,8519,3835,17479,9859,3949,723,5942,7599,1772,3211,1119,27051,2141,-27054,-4147,1601,-3760,-57130,-41744,653,255,-392,11503,-54565,-25670,-11068,1762,8333,3823,-8227,2452,3842,681,-2144,1358,1631,2868,1104,1033
2016-06-01,2355,77750,29914,3457,41792,74201,61876,9376,5473,28099,114,63002,74236,39835,61,808,51,31486,8964,158,31,8875,3975,124,336,12,26407,4373,26362,19467,4485,49361,19264,25026,10530,5439,25377,7392,31642,41144,19371,2154,7793,2885,17577,9216,2787,554,5398,7382,1918,3245,926,22940,2018,-51388,-10447,1028,7568,-54937,-36849,1154,-34,-2721,7277,-31360,-33091,-20463,2092,6985,2833,-13908,252,2629,522,-3477,3406,1793,2908,913,-3467
2016-07-01,3731,73738,44808,3166,57666,66306,64944,9500,4694,47167,182,127320,112766,107121,315,1286,82,53312,10536,878,67,13564,7590,940,1325,90,35164,6402,28780,21287,6576,70345,20868,28484,11557,5514,41800,11336,54596,70865,32210,2813,10769,3336,34427,11522,3692,941,7076,13197,1948,4030,1054,37190,2670,-44958,-23521,3409,12678,-45438,-36460,2056,819,-5367,11153,-72724,-41901,-74911,2497,9483,3254,-18884,986,2814,873,-6488,5606,1007,2705,963,2025
2016-08-01,3907,73131,35652,3614,50559,76418,63126,13219,5705,39846,120,98873,76798,51112,160,851,54,35778,7621,563,42,8830,4313,465,753,43,27354,5063,36190,20094,4929,64338,21407,30544,13068,5035,28783,13832,39881,54634,23625,2621,10350,3587,23444,8807,4542,694,6183,8440,1563,3752,955,26919,1156,-36941,-15558,1314,13778,-55011,-32581,-151,-669,-11062,13711,-58992,-22163,-27486,2460,9499,3532,-12334,1186,3979,651,-2647,4126,1097,2998,911,-435
2016-09-01,3412,72818,36402,3086,48537,72483,58014,11711,5932,34528,372,112551,63970,59953,313,2622,167,36017,7584,328,49,8795,3814,301,418,24,30726,5522,32683,20488,4575,58354,17933,25911,13579,5898,26936,11924,54733,51069,29555,2448,10572,3646,32910,8472,4190,1050,6938,9657,1522,3733,1147,30068,2110,-40135,-15914,1488,9816,-54550,-32103,1868,-34,-7591,11552,-57818,-12900,-30398,2134,7949,3479,-3106,888,3862,1001,-1857,5842,1220,3314,1122,-658
2016-10-01,3055,76781,47213,4090,67796,79955,60338,10486,7111,29937,140,160443,81566,63224,75,989,63,51171,5852,282,36,10650,4567,268,383,21,43765,5856,35890,23299,5171,55081,20087,31726,14573,4983,30618,20625,68240,59997,30011,2984,12041,5688,27707,8221,6166,1066,7227,9614,2221,5125,1443,31127,2801,-40891,-23914,1081,-12715,-59868,-28612,4086,-2127,681,20485,-92202,-21568,-33212,2908,11052,5625,-23463,2369,5884,1030,-3423,5046,1952,4741,1421,-12638
